Bike Station,Place,Place Latitude,Place Longitude,Rating,Popularity,Price
Chilco & Barclay,Shamrock Alley,49.287288,-123.141293,No rating available,No popularity available,No price available
Chilco & Barclay,Kintaro Ramen,49.291508,-123.135083,No rating available,No popularity available,No price available
Chilco & Barclay,The Calling Public House,49.287036,-123.141839,No rating available,No popularity available,No price available
Chilco & Barclay,Mo-Mo Sushi House,49.290288,-123.134411,No rating available,No popularity available,No price available
Chilco & Barclay,Falafel King Restaurant,49.288111,-123.140146,No rating available,No popularity available,No price available
Chilco & Barclay,Tim Hortons,49.289295,-123.139112,No rating available,No popularity available,No price available
St George & Broadway,AJ's Brooklyn Pizza Joint,49.262989,-123.098175,No rating available,No popularity available,No price available
St George & Broadway,Les Faux Bourgeois,49.257306,-123.089824,No rating available,No popularity available,No price available
St George & Broadway,The Gluten Free Epicurean,49.257337,-123.090395,No rating available,No popularity available,No price available
St George & Broadway,Osteria Savio Volpe,49.257425,-123.09097,No rating available,No popularity available,No price available
St George & Broadway,Matchstick Coffee,49.257296,-123.090229,No rating available,No popularity available,No price available
St George & Broadway,Nemesis Coffee,49.267091,-123.092602,No rating available,No popularity available,No price available
St George & Broadway,Cartems Donuterie,49.265642,-123.100591,No rating available,No popularity available,No price available
St George & Broadway,Sal y Limon,49.256878,-123.08922,No rating available,No popularity available,No price available
St George & Broadway,33 Acres Brewing Co,49.263877,-123.105307,No rating available,No popularity available,No price available
St George & Broadway,49th Parallel Coffee Roast,49.259164,-123.100851,No rating available,No popularity available,No price available
St George & Broadway,Brassneck Brewery,49.265811,-123.100605,No rating available,No popularity available,No price available
St George & Broadway,Elysian Coffee,49.264531,-123.105038,No rating available,No popularity available,No price available
St George & Broadway,Toshi Sushi,49.256698,-123.101858,No rating available,No popularity available,No price available
St George & Broadway,The Federal Store,49.261909,-123.103193,No rating available,No popularity available,No price available
St George & Broadway,Main Street Brewing Co,49.264745,-123.099216,No rating available,No popularity available,No price available
St George & Broadway,Fox Cabaret,49.264298,-123.101206,No rating available,No popularity available,No price available
St George & Broadway,12 Kings Pub,49.260337,-123.096652,No rating available,No popularity available,No price available
St George & Broadway,R & B Brewing Inc,49.26727,-123.103568,No rating available,No popularity available,No price available
St George & Broadway,Anh and Chi,49.255019,-123.100904,No rating available,No popularity available,No price available
St George & Broadway,Hime Japanese Restaurant,49.262963,-123.09874,No rating available,No popularity available,No price available
St George & Broadway,Pure Bread,49.266631,-123.104568,No rating available,No popularity available,No price available
St George & Broadway,Ignite Pizzeria,49.262233,-123.100706,No rating available,No popularity available,No price available
St George & Broadway,Kranky Cafe,49.267206,-123.09975,No rating available,No popularity available,No price available
St George & Broadway,Narrow Lounge,49.268334,-123.100495,No rating available,No popularity available,No price available
St George & Broadway,Fife Bakery,49.268088,-123.10307,No rating available,No popularity available,No price available
St George & Broadway,Red Truck Beer,49.268585,-123.097272,No rating available,No popularity available,No price available
St George & Broadway,Uncle Abe's,49.258129,-123.100925,No rating available,No popularity available,No price available
St George & Broadway,Burdock & Co,49.260915,-123.100756,No rating available,No popularity available,No price available
St George & Broadway,Sushi Hil,49.255379,-123.101015,No rating available,No popularity available,No price available
St George & Broadway,33 Brewing Experiment,49.263903,-123.105634,No rating available,No popularity available,No price available
St George & Broadway,Electric Bicycle Brewing,49.267115,-123.104285,No rating available,No popularity available,No price available
St George & Broadway,Sing Sing Beer Bar,49.260652,-123.100815,No rating available,No popularity available,No price available
St George & Broadway,JJ Bean Coffee Roasters,49.258242,-123.100935,No rating available,No popularity available,No price available
St George & Broadway,The General Public,49.255843,-123.101541,No rating available,No popularity available,No price available
St George & Broadway,Nirvana Restaurant,49.264411,-123.101216,No rating available,No popularity available,No price available
St George & Broadway,Tacofino Ocho,49.266312,-123.104622,No rating available,No popularity available,No price available
St George & Broadway,Colony Bar Main Street,49.258994,-123.100836,No rating available,No popularity available,No price available
St George & Broadway,Gene Coffeebar,49.263721,-123.100671,No rating available,No popularity available,No price available
St George & Broadway,Forecast Coffee,49.258541,-123.100798,No rating available,No popularity available,No price available
St George & Broadway,Bells and Whistles,49.255678,-123.089524,No rating available,No popularity available,No price available
St George & Broadway,Lucy's Eastside Diner,49.260971,-123.100761,No rating available,No popularity available,No price available
St George & Broadway,Pho Long Restaurant,49.254901,-123.090188,No rating available,No popularity available,No price available
St George & Broadway,Caffe Barney,49.262516,-123.10073,No rating available,No popularity available,No price available
St George & Broadway,Como Taperia,49.264715,-123.100431,No rating available,No popularity available,No price available
St George & Broadway,Tim Hortons,49.266273,-123.084421,No rating available,No popularity available,No price available
St George & Broadway,Blenz Coffee,49.26399,-123.08082,No rating available,No popularity available,No price available
St George & Broadway,Domino's Pizza,49.262677,-123.091578,No rating available,No popularity available,No price available
St George & Broadway,Vera's Burger Shack,49.259015,-123.100919,No rating available,No popularity available,No price available
St George & Broadway,Hail Mary's,49.262352,-123.089604,No rating available,No popularity available,No price available
St George & Broadway,Noor Convienience & Donair,49.262311,-123.089438,No rating available,No popularity available,No price available
Britannia Parking Lot,East Vancouver Brewing Co,49.276863,-123.071283,No rating available,No popularity available,No price available
Britannia Parking Lot,The Downlow Chicken Shack,49.276378,-123.069781,No rating available,No popularity available,No price available
Britannia Parking Lot,Pepino's,49.278808,-123.070636,No rating available,No popularity available,No price available
Britannia Parking Lot,Fujiya Japanese Foods,49.276572,-123.077019,No rating available,No popularity available,No price available
Britannia Parking Lot,Bomber Brewing,49.277477,-123.074418,No rating available,No popularity available,No price available
Britannia Parking Lot,Havana,49.273731,-123.069395,No rating available,No popularity available,No price available
Britannia Parking Lot,Via Tevere Pizzeria,49.273873,-123.065512,No rating available,No popularity available,No price available
Britannia Parking Lot,The Lunch Lady,49.274972,-123.069257,No rating available,No popularity available,No price available
Britannia Parking Lot,Sula Indian Restaurant,49.274442,-123.069131,No rating available,No popularity available,No price available
Britannia Parking Lot,Strange Fellows Brewing,49.272444,-123.077805,No rating available,No popularity available,No price available
Britannia Parking Lot,TimberTrain,49.279794,-123.074371,No rating available,No popularity available,No price available
Britannia Parking Lot,Ginger Sushi,49.271667,-123.069788,No rating available,No popularity available,No price available
Britannia Parking Lot,Storm Brewing Ltd,49.28202,-123.070178,No rating available,No popularity available,No price available
Britannia Parking Lot,La Casa Gelato,49.276991,-123.081598,No rating available,No popularity available,No price available
Britannia Parking Lot,Pallet Coffee Roasters,49.28179,-123.063911,No rating available,No popularity available,No price available
Britannia Parking Lot,A. Bosa and Company Ltd. Import Euro,49.279449,-123.065416,No rating available,No popularity available,No price available
Britannia Parking Lot,Yolks,49.28108,-123.072857,No rating available,No popularity available,No price available
Britannia Parking Lot,La Grotta Del Formaggio,49.268804,-123.06987,No rating available,No popularity available,No price available
Britannia Parking Lot,Moja Coffee,49.274709,-123.069316,No rating available,No popularity available,No price available
Britannia Parking Lot,Sopra Sotto,49.27109,-123.069252,No rating available,No popularity available,No price available
Britannia Parking Lot,Turk's on the Drive,49.273268,-123.069761,No rating available,No popularity available,No price available
Britannia Parking Lot,Earnest Ice Cream,49.27967,-123.074767,No rating available,No popularity available,No price available
Britannia Parking Lot,Powell Street Craft Brewery,49.283346,-123.075727,No rating available,No popularity available,No price available
Britannia Parking Lot,Andina Brewing Co,49.283433,-123.073625,No rating available,No popularity available,No price available
Britannia Parking Lot,Prado Cafe,49.267213,-123.069492,No rating available,No popularity available,No price available
Britannia Parking Lot,Superflux Beer Co,49.28014,-123.077322,No rating available,No popularity available,No price available
Britannia Parking Lot,Caffe la Tana,49.278829,-123.070719,No rating available,No popularity available,No price available
Britannia Parking Lot,Volcano Sushi & Grill,49.281435,-123.064043,No rating available,No popularity available,No price available
Britannia Parking Lot,Marcello Ristorante & Pizzeria,49.272017,-123.069412,No rating available,No popularity available,No price available
Britannia Parking Lot,Pink Pearl Chinese Seafood Restaurant,49.280677,-123.080369,No rating available,No popularity available,No price available
Britannia Parking Lot,Livia Bakery,49.27229,-123.069841,No rating available,No popularity available,No price available
Britannia Parking Lot,Luppolo Brewing Co,49.276934,-123.080701,No rating available,No popularity available,No price available
Britannia Parking Lot,The Dime,49.270745,-123.069872,No rating available,No popularity available,No price available
Britannia Parking Lot,Victoria Park Cafe,49.27116,-123.065526,No rating available,No popularity available,No price available
Britannia Parking Lot,Windjammer,49.275981,-123.069748,No rating available,No popularity available,No price available
Britannia Parking Lot,The Charlatan,49.271667,-123.069788,No rating available,No popularity available,No price available
Britannia Parking Lot,Red Burrito,49.269473,-123.06944,No rating available,No popularity available,No price available
Britannia Parking Lot,Kojima Sushi,49.268155,-123.069491,No rating available,No popularity available,No price available
Britannia Parking Lot,Pelican Seafood Restaurant,49.281534,-123.065999,No rating available,No popularity available,No price available
Britannia Parking Lot,Andy's Bakery Ltd,49.2763,-123.069694,No rating available,No popularity available,No price available
Britannia Parking Lot,Gatley Lifestyle Store,49.274437,-123.069779,No rating available,No popularity available,No price available
Britannia Parking Lot,Wilder Juice,49.274709,-123.069316,No rating available,No popularity available,No price available
Britannia Parking Lot,City Bistro European Food and DELI,49.273237,-123.069191,No rating available,No popularity available,No price available
Britannia Parking Lot,Takenaka,49.278276,-123.075622,No rating available,No popularity available,No price available
Britannia Parking Lot,Khoe,49.278389,-123.075632,No rating available,No popularity available,No price available
Britannia Parking Lot,Mum's the Word,49.272403,-123.06985,No rating available,No popularity available,No price available
Britannia Parking Lot,Al Basha,49.272233,-123.069836,No rating available,No popularity available,No price available
Britannia Parking Lot,Cozen,49.271687,-123.069871,No rating available,No popularity available,No price available
Britannia Parking Lot,Merci Beaucoup Cafe,49.27162,-123.069378,No rating available,No popularity available,No price available
Britannia Parking Lot,Bar Corso,49.270848,-123.069394,No rating available,No popularity available,No price available
Morton & Denman,Cactus Club Cafe,49.28666,-123.14278,No rating available,No popularity available,No price available
Morton & Denman,CRAFT Beer Market English Bay,49.286629,-123.14221,No rating available,No popularity available,No price available
Morton & Denman,Delany's Coffee House,49.288307,-123.140488,No rating available,No popularity available,No price available
Morton & Denman,Legendary Noodle House,49.288425,-123.139849,No rating available,No popularity available,No price available
Morton & Denman,The Inukshuk,49.284303,-123.143552,No rating available,No popularity available,No price available
Morton & Denman,Kingyo Izakaya 金魚居酒屋,49.290643,-123.136956,No rating available,No popularity available,No price available
Morton & Denman,Peaked Pies,49.28964,-123.138493,No rating available,No popularity available,No price available
Morton & Denman,Starbucks,49.287236,-123.141532,No rating available,No popularity available,No price available
Morton & Denman,Tavola,49.291843,-123.135761,No rating available,No popularity available,No price available
Morton & Denman,Guu with Garlic,49.290278,-123.133923,No rating available,No popularity available,No price available
Morton & Denman,Cardero Bottega,49.287092,-123.135598,No rating available,No popularity available,No price available
Morton & Denman,Greenhorn Cafe,49.286624,-123.133935,No rating available,No popularity available,No price available
Morton & Denman,Red Umbrella Cafe,49.286418,-123.140245,No rating available,No popularity available,No price available
Morton & Denman,Sylvia's Bar,49.288559,-123.142618,No rating available,No popularity available,No price available
Morton & Denman,Marble Slab Creamery,49.287329,-123.141459,No rating available,No popularity available,No price available
Morton & Denman,Saku,49.291333,-123.134825,No rating available,No popularity available,No price available
Morton & Denman,The Park at English Bay,49.286922,-123.140937,No rating available,No popularity available,No price available
Morton & Denman,Nero Belgian Waffle Bar,49.290654,-123.133874,No rating available,No popularity available,No price available
Morton & Denman,Pappa Roti,49.28892,-123.13113,No rating available,No popularity available,No price available
Morton & Denman,Marutama Ra-men,49.290515,-123.133538,No rating available,No popularity available,No price available
Morton & Denman,Score on Davie,49.282285,-123.134538,No rating available,No popularity available,No price available
Morton & Denman,Ramen Danbo - Robson,49.287499,-123.12898,No rating available,No popularity available,No price available
Morton & Denman,Zakkushi Japanese Restaurant,49.291138,-123.136268,No rating available,No popularity available,No price available
Morton & Denman,Chung Chun Rice Hotdog,49.291199,-123.134732,No rating available,No popularity available,No price available
Morton & Denman,Kosoo Restaurant,49.289064,-123.132602,No rating available,No popularity available,No price available
Morton & Denman,La Belle Patate,49.282095,-123.133548,No rating available,No popularity available,No price available
Morton & Denman,Ukrainian Village Restaurant,49.291374,-123.135883,No rating available,No popularity available,No price available
Morton & Denman,Blenz Coffee,49.290242,-123.137571,No rating available,No popularity available,No price available
Morton & Denman,Melriches Coffeehouse,49.282224,-123.134289,No rating available,No popularity available,No price available
Morton & Denman,Take 5 Cafe,49.290304,-123.128896,No rating available,No popularity available,No price available
Morton & Denman,Akira Sushi,49.288636,-123.140029,No rating available,No popularity available,No price available
Morton & Denman,Cora Breakfast & Lunch,49.287551,-123.129634,No rating available,No popularity available,No price available
Morton & Denman,Viet Sub,49.290103,-123.133665,No rating available,No popularity available,No price available
Morton & Denman,Shamrock Alley,49.287288,-123.141293,No rating available,No popularity available,No price available
Morton & Denman,Menya Itto,49.288683,-123.130623,No rating available,No popularity available,No price available
Morton & Denman,Gillaneh Grill House,49.288461,-123.139771,No rating available,No popularity available,No price available
Morton & Denman,Matchstick,49.282738,-123.134576,No rating available,No popularity available,No price available
Morton & Denman,The Calling Public House,49.287036,-123.141839,No rating available,No popularity available,No price available
Morton & Denman,Stanley Park Brewing Restaurant & Brewpub,49.292295,-123.146508,No rating available,No popularity available,No price available
Morton & Denman,Timber,49.286953,-123.129015,No rating available,No popularity available,No price available
Morton & Denman,Stepho's Souvlaki Greek Taverna,49.287674,-123.129239,No rating available,No popularity available,No price available
Morton & Denman,Davie Dosa Co,49.282249,-123.133723,No rating available,No popularity available,No price available
Morton & Denman,A&W Restaurant,49.28964,-123.138493,No rating available,No popularity available,No price available
Morton & Denman,Breaking Bean,49.291395,-123.129719,No rating available,No popularity available,No price available
Morton & Denman,Banana Leaf,49.291374,-123.13499,No rating available,No popularity available,No price available
Morton & Denman,Olympia Restaurant,49.289408,-123.138229,No rating available,No popularity available,No price available
Morton & Denman,Izakaya Gon's,49.290813,-123.136078,No rating available,No popularity available,No price available
Morton & Denman,Mo-Mo Sushi House,49.290288,-123.134411,No rating available,No popularity available,No price available
Morton & Denman,Tim Hortons,49.289295,-123.139112,No rating available,No popularity available,No price available
Morton & Denman,Kintaro Ramen,49.291508,-123.135083,No rating available,No popularity available,No price available
Thornton & National,Pizzeria Farina,49.276561,-123.10014,No rating available,No popularity available,No price available
Thornton & National,Phnom Penh,49.278403,-123.098188,No rating available,No popularity available,No price available
Thornton & National,Creekside Park,49.274585,-123.102893,No rating available,No popularity available,No price available
Thornton & National,Earnest Ice Cream,49.268876,-123.102894,No rating available,No popularity available,No price available
Thornton & National,Torafuku,49.275928,-123.0996,No rating available,No popularity available,No price available
Thornton & National,Keefer Bar,49.279619,-123.101293,No rating available,No popularity available,No price available
Thornton & National,Bao Bei,49.279609,-123.100805,No rating available,No popularity available,No price available
Thornton & National,Oyster Express,49.279309,-123.097372,No rating available,No popularity available,No price available
Thornton & National,Nemesis Coffee,49.267091,-123.092602,No rating available,No popularity available,No price available
Thornton & National,La Casa Gelato,49.276991,-123.081598,No rating available,No popularity available,No price available
Thornton & National,Mello,49.280489,-123.098771,No rating available,No popularity available,No price available
Thornton & National,Kissa Tanto,49.28055,-123.098127,No rating available,No popularity available,No price available
Thornton & National,Salt Tasting Room,49.280282,-123.098881,No rating available,No popularity available,No price available
Thornton & National,Narrow Lounge,49.268334,-123.100495,No rating available,No popularity available,No price available
Thornton & National,Red Truck Beer,49.268585,-123.097272,No rating available,No popularity available,No price available
Thornton & National,Finch's Market,49.278582,-123.093335,No rating available,No popularity available,No price available
Thornton & National,Chinatown BBQ,49.280546,-123.101453,No rating available,No popularity available,No price available
Thornton & National,Bodega on Main,49.275439,-123.099639,No rating available,No popularity available,No price available
Thornton & National,Gusto a Taste of Italy,49.271332,-123.105861,No rating available,No popularity available,No price available
Thornton & National,Fife Bakery,49.268088,-123.10307,No rating available,No popularity available,No price available
Thornton & National,Tractor Foods - Olympic Village,49.269535,-123.102869,No rating available,No popularity available,No price available
Thornton & National,Kranky Cafe,49.267206,-123.09975,No rating available,No popularity available,No price available
Thornton & National,Juke,49.279372,-123.100298,No rating available,No popularity available,No price available
Thornton & National,Propaganda Coffee,49.280499,-123.099259,No rating available,No popularity available,No price available
Thornton & National,American Hotel,49.276324,-123.099634,No rating available,No popularity available,No price available
Thornton & National,Dosanko,49.282756,-123.092067,No rating available,No popularity available,No price available
Thornton & National,Amato Gelato Cafe,49.270065,-123.102995,No rating available,No popularity available,No price available
Thornton & National,Upstairs at Campagnolo,49.275382,-123.099635,No rating available,No popularity available,No price available
Thornton & National,Brickhouse Late Nite Bistro & Bar,49.277848,-123.09952,No rating available,No popularity available,No price available
Thornton & National,New Town Bakery & Restaurant,49.280309,-123.100946,No rating available,No popularity available,No price available
Thornton & National,Starbucks,49.271053,-123.087585,No rating available,No popularity available,No price available
Thornton & National,The Ramen Butcher,49.278661,-123.098778,No rating available,No popularity available,No price available
Thornton & National,Tap & Barrel,49.271827,-123.106065,No rating available,No popularity available,No price available
Thornton & National,Wilder Snail,49.279398,-123.087482,No rating available,No popularity available,No price available
Thornton & National,Luppolo Brewing Co,49.276934,-123.080701,No rating available,No popularity available,No price available
Thornton & National,Starbucks,49.269499,-123.102947,No rating available,No popularity available,No price available
Thornton & National,Hogan's Alley Cafe,49.27776,-123.09716,No rating available,No popularity available,No price available
Thornton & National,Prototype Coffee Inc,49.281214,-123.085202,No rating available,No popularity available,No price available
Thornton & National,The Emerald,49.279706,-123.097406,No rating available,No popularity available,No price available
Thornton & National,Fat Mao Noodles,49.278692,-123.099348,No rating available,No popularity available,No price available
Thornton & National,Pat's Pub & Brewhouse,49.281409,-123.095117,No rating available,No popularity available,No price available
Thornton & National,The Heatley,49.28101,-123.089728,No rating available,No popularity available,No price available
Thornton & National,Boss Bakery & Restaurant,49.279938,-123.099454,No rating available,No popularity available,No price available
Thornton & National,Brewhall,49.269396,-123.103425,No rating available,No popularity available,No price available
Thornton & National,Floata Seafood Restaurant 富大海鮮酒家,49.278996,-123.10124,No rating available,No popularity available,No price available
Thornton & National,Tim Hortons,49.279279,-123.099479,No rating available,No popularity available,No price available
Thornton & National,Bibi's Kitchen,49.271643,-123.094855,No rating available,No popularity available,No price available
Thornton & National,London Pub,49.278471,-123.099573,No rating available,No popularity available,No price available
Thornton & National,Kam Wai Dim Sum,49.280576,-123.098454,No rating available,No popularity available,No price available
Thornton & National,Jade Dynasty Restaurant,49.280572,-123.100887,No rating available,No popularity available,No price available
Burrard & 14th,Small Victory,49.258291,-123.138568,No rating available,No popularity available,No price available
Burrard & 14th,Suika,49.263522,-123.141773,No rating available,No popularity available,No price available
Burrard & 14th,Beaucoup Bakery & Cafe,49.266477,-123.140728,No rating available,No popularity available,No price available
Burrard & 14th,Rain or Shine Ice Cream,49.267929,-123.1488,No rating available,No popularity available,No price available
Burrard & 14th,Cheesecake Etc,49.266415,-123.138696,No rating available,No popularity available,No price available
Burrard & 14th,Farmer's Apprentice Restaurant,49.266297,-123.139334,No rating available,No popularity available,No price available
Burrard & 14th,Maenam,49.267913,-123.148961,No rating available,No popularity available,No price available
Burrard & 14th,Bin 4 Burger Lounge,49.259007,-123.138549,No rating available,No popularity available,No price available
Burrard & 14th,Breakfast Table,49.263821,-123.138068,No rating available,No popularity available,No price available
Burrard & 14th,Gyo Para Gyoza & Ramen Bar,49.263542,-123.153452,No rating available,No popularity available,No price available
Burrard & 14th,Tractor Everyday Healthy Foods,49.268217,-123.148176,No rating available,No popularity available,No price available
Burrard & 14th,Paul's Place Restaurant & Omelettery,49.265962,-123.138657,No rating available,No popularity available,No price available
Burrard & 14th,Dose Espresso Bar,49.263749,-123.139116,No rating available,No popularity available,No price available
Burrard & 14th,Edible Flours,49.263706,-123.156791,No rating available,No popularity available,No price available
Burrard & 14th,Cactus Club Cafe West Broadway,49.263435,-123.139414,No rating available,No popularity available,No price available
Burrard & 14th,Tangram Creamery,49.261673,-123.153292,No rating available,No popularity available,No price available
Burrard & 14th,Blue Star Japanese Bistro,49.268212,-123.148824,No rating available,No popularity available,No price available
Burrard & 14th,Sweet Barrel Coffee Roasters and Creamery,49.261318,-123.153424,No rating available,No popularity available,No price available
Burrard & 14th,Napoletana Pizza,49.263038,-123.15276,No rating available,No popularity available,No price available
Burrard & 14th,Grapes & Soda,49.266302,-123.139578,No rating available,No popularity available,No price available
Burrard & 14th,Pallet Coffee Roasters Broadway Inc,49.263599,-123.150781,No rating available,No popularity available,No price available
Burrard & 14th,Caffe Barney,49.259223,-123.138972,No rating available,No popularity available,No price available
Burrard & 14th,Earls Restaurant,49.263893,-123.14148,No rating available,No popularity available,No price available
Burrard & 14th,Elysian Room,49.267038,-123.144993,No rating available,No popularity available,No price available
Burrard & 14th,Plaisir Sucre Bakery Ltd,49.262209,-123.15277,No rating available,No popularity available,No price available
Burrard & 14th,Akbar's Own Dining Lounge,49.263923,-123.148295,No rating available,No popularity available,No price available
Burrard & 14th,Trees Organic Coffee,49.263424,-123.14071,No rating available,No popularity available,No price available
Burrard & 14th,Blenz Coffee,49.263527,-123.150045,No rating available,No popularity available,No price available
Burrard & 14th,Masa Japanese Restaurant,49.263414,-123.136655,No rating available,No popularity available,No price available
Burrard & 14th,Carlos O'Bryan's Pub,49.265334,-123.145496,No rating available,No popularity available,No price available
Burrard & 14th,"Happy Lamb Hot Pot, Vancouver",49.263445,-123.145253,No rating available,No popularity available,No price available
Burrard & 14th,Wicked Cafe,49.265432,-123.135854,No rating available,No popularity available,No price available
Burrard & 14th,Denny's,49.263838,-123.144824,No rating available,No popularity available,No price available
Burrard & 14th,Tim Hortons,49.2638,-123.140661,No rating available,No popularity available,No price available
Burrard & 14th,Boston Pizza,49.263692,-123.134651,No rating available,No popularity available,No price available
Burrard & 14th,Starbucks,49.263141,-123.138902,No rating available,No popularity available,No price available
Burrard & 14th,Jitters Caffe,49.267944,-123.149531,No rating available,No popularity available,No price available
Burrard & 14th,Hot Dog Stand,49.263373,-123.144517,No rating available,No popularity available,No price available
Burrard & 14th,Viet Flavour Restaurant,49.263527,-123.146477,No rating available,No popularity available,No price available
Burrard & 14th,Pineway Restaurant,49.263903,-123.144644,No rating available,No popularity available,No price available
Burrard & 14th,Yu Noodle House,49.26397,-123.146028,No rating available,No popularity available,No price available
Burrard & 14th,Kits Indian Restaurant,49.26414,-123.146043,No rating available,No popularity available,No price available
Burrard & 14th,Lan Fong Yuen 蘭芳園,49.263918,-123.148943,No rating available,No popularity available,No price available
Burrard & 14th,Lan Fong Yuen 蘭芳園,49.263918,-123.148943,No rating available,No popularity available,No price available
Burrard & 14th,Mazahr Lebanese Kitchen,49.261545,-123.138279,No rating available,No popularity available,No price available
Burrard & 14th,Brown Rice Sushi,49.264891,-123.145945,No rating available,No popularity available,No price available
Burrard & 14th,Ameresco Canada Inc,49.262338,-123.138347,No rating available,No popularity available,No price available
Burrard & 14th,McDonald's,49.263445,-123.138117,No rating available,No popularity available,No price available
Burrard & 14th,Delhi6,49.265211,-123.144999,No rating available,No popularity available,No price available
Burrard & 14th,5 Spice,49.263821,-123.13896,No rating available,No popularity available,No price available
Olympic Village Station,Caffe Cittadella,49.26473,-123.116978,No rating available,No popularity available,No price available
Olympic Village Station,Rogue Kitchen & Wetbar,49.263123,-123.117652,No rating available,No popularity available,No price available
Olympic Village Station,Marulilu Cafe,49.263328,-123.11402,No rating available,No popularity available,No price available
Olympic Village Station,Elysian Coffee Broadway,49.263077,-123.117243,No rating available,No popularity available,No price available
Olympic Village Station,Milano Coffee,49.263724,-123.108701,No rating available,No popularity available,No price available
Olympic Village Station,Peaceful Restaurant,49.263051,-123.116024,No rating available,No popularity available,No price available
Olympic Village Station,Solly's Bagelry,49.264703,-123.112191,No rating available,No popularity available,No price available
