Bike Station,Place,Place Latitude,Place Longitude,Rating,Review Count,Price
Britannia Parking Lot,Windjammer,49.2760774,-123.0695147,3.6,78,$
Britannia Parking Lot,Enzo’s Rustico Romano,49.281012,-123.054904,4.7,3,No price available
Britannia Parking Lot,Truck Stop Cafe,49.2754522,-123.0771151,4.3,22,No price available
Britannia Parking Lot,Pax Romana,49.2699,-123.0693,3.5,2,No price available
Britannia Parking Lot,Antojos y Sabores,49.27831542816809,-123.0755744,4.9,8,No price available
Britannia Parking Lot,Dundas Eat + Drink,49.285084,-123.062273,4.2,77,$$
Britannia Parking Lot,La Grotta Del Formaggio,49.2688848,-123.0697849,4.4,214,$
Britannia Parking Lot,Cafe Du Soleil,49.2722732,-123.0697861,3.9,85,$
Britannia Parking Lot,Pho Khanh Express,49.28121,-123.082652,5.0,1,No price available
Britannia Parking Lot,Straight and Marrow,49.2848302,-123.0661495,4.4,37,No price available
Britannia Parking Lot,Jackalope's Neighbourhood Dive,49.2812849,-123.0586541,4.3,128,$$
Britannia Parking Lot,Viet Family- The Vegan House,49.271884015489945,-123.06942675558966,4.8,34,No price available
Britannia Parking Lot,Jamjar - Folk Lebanese Food,49.264412,-123.0695951,3.8,269,$$
Britannia Parking Lot,Burdy,49.28201,-123.07843,5.0,5,No price available
Britannia Parking Lot,Franklin Food Lab,49.28209789579896,-123.0724623687172,5.0,2,No price available
Britannia Parking Lot,HoTaTe,49.27843315451099,-123.07556467964932,0.0,0,No price available
Britannia Parking Lot,Social,49.26848,-123.06947,3.7,34,$$
Morton & Denman,Kingyo,49.29073911099211,-123.13705023185994,4.4,1224,$$
Morton & Denman,Noah's Cafe,49.28827635407216,-123.1400279,4.7,47,No price available
Morton & Denman,CRAFT Beer Market,49.2864807,-123.142214,4.0,48,No price available
Morton & Denman,Tre Viet,49.28812950568292,-123.1403068,4.7,23,No price available
Morton & Denman,Cactus Club Cafe,49.28689653721021,-123.14273036,3.7,369,$$
Morton & Denman,Vonns,49.28724,-123.14124,4.6,61,No price available
Morton & Denman,Frying Pan,49.28835486722387,-123.1404394134939,4.4,41,No price available
Morton & Denman,Café Portrait,49.2881056129168,-123.140413686633,4.4,79,No price available
Morton & Denman,Guu with Garlic,49.290249,-123.1338142,4.3,1098,$$
Morton & Denman,Tavola,49.2918164,-123.1357186,4.4,394,$$$
Morton & Denman,Chef Ron,49.28905,-123.13951,4.0,11,No price available
Morton & Denman,Nook,49.2917554,-123.1352974,4.2,331,$$
Morton & Denman,Saku,49.289223,-123.132266,4.4,465,$$
Morton & Denman,España Restaurant,49.2880552,-123.1404114,4.2,263,$$
Morton & Denman,Peaked Pies,49.2896489,-123.1384797,4.4,215,$$
Morton & Denman,Jinmi,49.290812,-123.13607,4.5,25,No price available
Morton & Denman,Sylvia's Restaurant and Lounge,49.28864,-123.14242,3.1,102,$$
Morton & Denman,Sula Indian Restaurant - Davie Street,49.2862525,-123.14058433186014,4.2,18,No price available
Morton & Denman,Mumu Kitchen,49.2865679,-123.1410355,3.7,31,$$
Morton & Denman,Babylon Restaurant and Bar,49.287368,-123.1413811,4.6,5,No price available
Morton & Denman,Papi's Seafood and Oyster Bar,49.2877438,-123.1413624,3.6,68,No price available
Morton & Denman,Robba da Matti West End,49.29172,-123.13857,3.9,85,No price available
Morton & Denman,The Red Accordion,49.29025,-123.131768,4.7,124,$$
Morton & Denman,Big Bang Sushi,49.2883087715973,-123.140502534807,4.8,29,No price available
Morton & Denman,Hook Restaurant,49.2870144,-123.1419204,3.7,137,$$$
Morton & Denman,Beeryani Indian Bistro & Bar,49.28724,-123.14124,4.5,38,No price available
Morton & Denman,Dinesty Dumpling House,49.2908176,-123.1343912,3.9,1006,$$
Morton & Denman,Jungle Room,49.289897,-123.138111,3.9,34,No price available
Morton & Denman,Arike Restaurant,49.2868046,-123.1408561,4.8,30,No price available
Morton & Denman,Jingle Bao,49.291609,-123.134917,4.1,210,$$
Morton & Denman,Los Chavos Mexican Restaurant & Cantina,49.291058,-123.136479,4.4,12,No price available
Morton & Denman,Damso Modern Korean Cuisine,49.29063165285682,-123.13696164681824,3.9,215,$$
Morton & Denman,Ong Ba,49.2895502300818,-123.138065747917,4.1,37,No price available
Morton & Denman,Dan Dan Noodle,49.2909697,-123.1359801,4.3,30,No price available
Morton & Denman,Bombay Kitchen + Bar,49.288712,-123.140107,4.0,4,No price available
Morton & Denman,Maruhachi Ra-men,49.2905691,-123.1333951,4.3,791,$$
Morton & Denman,Zakkushi on Denman,49.291208,-123.136248,4.2,271,$$$
Morton & Denman,Legendary Noodle House,49.2883958,-123.13983,3.7,245,$$
Morton & Denman,Won More Szechuan Cuisine,49.28723,-123.14144,3.8,81,$$
Morton & Denman,93 Coffee,49.28853156299956,-123.1392191,4.6,18,No price available
Morton & Denman,Lucifer's House of Heat,49.28597168266149,-123.13996338607934,4.9,8,No price available
Morton & Denman,Sura Korean Cuisine,49.2888601838143,-123.131742169312,4.1,461,$$
Morton & Denman,The Park Pub,49.28694973954,-123.141087285986,3.7,76,$$
Morton & Denman,Istanbul Doner,49.28943470426879,-123.13833124959088,4.6,7,No price available
Morton & Denman,Nine Dumplings,49.289525,-123.132907,4.4,48,No price available
Morton & Denman,Ukrainian Village,49.2914123,-123.1358196,4.1,180,$$
Morton & Denman,Nomnom Seoul,49.289901,-123.133681,4.3,11,No price available
Morton & Denman,Donair Town Robson,49.2914429,-123.1351318,4.3,84,$
Morton & Denman,Ramen Danbo,49.2874959131639,-123.128934167326,4.4,686,$$
Morton & Denman,Tom Sushi,49.2815608,-123.1327476,4.7,286,$$
Thornton & National,Phnom Penh,49.278431,-123.098205,4.2,1817,$$
Thornton & National,Bodega On Main,49.27548853708847,-123.09968391901442,3.8,233,$$
Thornton & National,The Darkside,49.277937,-123.098943,4.7,3,No price available
Thornton & National,Miku,49.28691298612272,-123.11304877258942,4.4,2428,$$$
Thornton & National,Torafuku,49.27589499983855,-123.09961118220762,3.8,232,$$
Thornton & National,Fat Mao,49.27881,-123.09893,3.9,256,$$
Thornton & National,Fiorino,49.2784351,-123.0992476,4.1,56,$$
Thornton & National,Barbara,49.2804544,-123.0970391,4.4,26,No price available
Thornton & National,La Cerveceria Astilleros,49.277909,-123.098848,5.0,2,No price available
Thornton & National,Machete Mexican Healthy Food,49.27572820842713,-123.1001953,4.4,18,No price available
Thornton & National,Bao Bei Chinese Brasserie,49.2796095312486,-123.100574596039,3.9,444,$$$
Thornton & National,The Farmhouse,49.26185879464837,-123.09710762514682,4.2,30,No price available
Thornton & National,El Mercat,49.26999,-123.09588,4.0,1,No price available
Thornton & National,Chinatown BBQ,49.280294,-123.1015,4.4,347,$$
Thornton & National,The Mackenzie Room,49.2832349,-123.0948578,4.5,209,$$$$
Thornton & National,To Dine For Eatery,49.2724419,-123.0957108,4.3,77,$$
Thornton & National,The Magnet,49.28242131064444,-123.11118325952978,4.7,29,No price available
Thornton & National,Sooda Korean BBQ,49.282678,-123.106049,4.6,45,No price available
Thornton & National,Twisted Fork,49.283194,-123.104445,4.1,1147,$$
Thornton & National,Casa Della Pasta,49.26964,-123.09803,4.2,5,No price available
Thornton & National,Miso Taco,49.277937,-123.098943,4.3,31,No price available
Thornton & National,Robba Da Matti,49.28314632351484,-123.10375675641404,4.6,24,No price available
Thornton & National,Chambar,49.2801460007961,-123.109925328073,4.2,1630,$$
Thornton & National,Tokyo In April,49.2806813,-123.1073936,4.4,96,$$
Thornton & National,Jam Cafe on Beatty,49.2802586,-123.1096376,4.4,1490,$$
Thornton & National,Luca Restaurant,49.27198772,-123.09441886,3.7,3,No price available
Thornton & National,Kissa Tanto,49.2806222,-123.09811350061167,4.1,314,$$$$
Thornton & National,Behind You,49.27911572237145,-123.10076535862387,4.5,2,No price available
Thornton & National,Tashkent Uzbek Cuisine,49.2700024,-123.0957949,5.0,1,No price available
Thornton & National,Oyster Express,49.2792784082144,-123.097397130932,4.5,171,$$
Thornton & National,Ekki Sushi,49.27377,-123.09797,4.5,6,No price available
Thornton & National,LOCAL Public Eatery Gastown,49.2835742,-123.1039517,4.2,173,$$
Thornton & National,Bibis Kitchen,49.2718617,-123.0957878,3.7,14,No price available
Thornton & National,La Boqueria,49.280466,-123.0976615,4.3,31,No price available
Thornton & National,Browns Socialhouse QE Theatre,49.279919,-123.112788,4.3,69,$$
Thornton & National,Kozak Ukrainian Restaurant,49.2826548747948,-123.1046559827506,4.5,77,$$
Thornton & National,Pho Quynh Express,49.2703843,-123.10133323073389,4.0,7,No price available
Thornton & National,Ask For Luigi,49.2844485,-123.0976786,4.1,552,$$
Thornton & National,RedBeef Noodle Kitchen,49.279908,-123.0995163,4.2,35,$$
Thornton & National,Kin Kao Song,49.2629749,-123.0986667,4.4,42,No price available
Thornton & National,Hunnybee,49.2778557236571,-123.097276474569,3.7,37,No price available
Thornton & National,Crackle Creme,49.27776,-123.0981399,4.3,291,$
Thornton & National,Zarak By Afghan Kitchen,49.266224,-123.1006089,4.5,125,No price available
Thornton & National,Mommy's Planet,49.27001421336809,-123.0957949,5.0,3,No price available
Thornton & National,Is That French,49.283317116058086,-123.10556957238876,4.7,17,No price available
Thornton & National,Pizzeria Farina,49.27662275332361,-123.10011416319465,4.2,235,$$
Thornton & National,Nuba - Mount Pleasant,49.26797,-123.10171,3.8,172,$$
Thornton & National,Caveman Cafe,49.280802324947445,-123.10703500282293,4.4,289,$$
Thornton & National,Bali Thai,49.2802711224293,-123.106226601714,4.5,102,$
Thornton & National,DD Mau Chinatown,49.2805314,-123.1009349,4.1,108,$$
Burrard & 14th,The Stable House Bistro,49.2597322720703,-123.140207185371,4.0,109,$$
Burrard & 14th,Fable Kitchen,49.2679331,-123.149019,4.3,804,$$
Burrard & 14th,Coquette,49.26212,-123.15324,4.0,26,No price available
Burrard & 14th,Gary's,49.260958,-123.138226,4.3,9,No price available
Burrard & 14th,Casereccio Foods,49.2642,-123.15742,4.7,56,No price available
Burrard & 14th,Breakfast Table,49.25855,-123.13856,4.3,282,$$
Burrard & 14th,Mazahr Lebanese Kitchen,49.2615511,-123.1383052,4.7,63,No price available
Burrard & 14th,Saba Foods,49.26007655336628,-123.13904964662748,4.4,17,No price available
Burrard & 14th,Curry N Grill,49.26214276485089,-123.1383634,5.0,1,No price available
Burrard & 14th,Bin 4 Burger Lounge,49.25902,-123.13833,3.7,125,$$
Burrard & 14th,JINYA Ramen Bar - Vancouver West,49.263449,-123.139273,4.7,7,No price available
Burrard & 14th,Le Coq Frit,49.2636151,-123.1479001,4.6,50,No price available
Burrard & 14th,Osaka Teppanyaki Steak & Seafood House,49.263417,-123.1453266,3.8,110,$$$
Burrard & 14th,Viet Flavour Restaurant,49.2635951,-123.1462632,4.1,30,No price available
Burrard & 14th,Sushi Umi,49.257724,-123.139054,4.5,4,No price available
Burrard & 14th,Ramen Danbo,49.26828,-123.146431,4.2,493,$$
Burrard & 14th,Raisu,49.2679990419609,-123.158381134272,4.2,530,$$$
Burrard & 14th,Leopold’s Tavern,49.26391052352111,-123.1417031,4.4,8,No price available
Burrard & 14th,Unchai Thai Restaurant,49.265112,-123.145913,4.4,97,No price available
Burrard & 14th,Yagoto Sushi Dining,49.263793589572,-123.154220015935,4.4,81,$$
Burrard & 14th,Johnny’s On Oak,49.25143,-123.12723,4.3,19,No price available
Burrard & 14th,New Fuji,49.27082027992868,-123.14700923860072,4.2,32,No price available
Burrard & 14th,Maenam,49.26787,-123.1488979,3.9,415,$$
Burrard & 14th,Nook,49.2722128608937,-123.155147313374,3.8,179,$$
Burrard & 14th,Delara,49.2680486,-123.1569183,4.2,61,No price available
Burrard & 14th,AnnaLena,49.2708261,-123.1467714,4.5,374,$$$$
Burrard & 14th,Z&W Shanghai,49.2635679666207,-123.153370158669,3.9,27,No price available
Burrard & 14th,Folke Restaurant,49.2641529,-123.1643358,4.7,19,No price available
Burrard & 14th,Fiore Famiglia,49.2578174,-123.1650765,3.8,54,No price available
Burrard & 14th,John 3:16 Malaysian Delights,49.26371,-123.12812,4.1,66,$$
Burrard & 14th,Hestia Kitchen Lab,49.27094388381633,-123.15548032522202,4.1,16,No price available
Burrard & 14th,Jam Cafe,49.2682705,-123.1539827,4.3,267,$$
Burrard & 14th,Kokoro Tokyo Mazesoba,49.268242,-123.146505,3.9,16,$$
Burrard & 14th,Don at Kitsilano,49.26803615562396,-123.1545255,4.4,28,No price available
Burrard & 14th,Tacofino,49.2681862,-123.148206,3.8,36,No price available
Burrard & 14th,Toyokan Bowl,49.27053485298529,-123.14775101534424,4.5,11,No price available
Burrard & 14th,Maple Grill Restaurant & Catering,49.2639098,-123.149756,4.3,28,$$
Burrard & 14th,Delhi 6 Indian Bistro,49.2653386,-123.1449329,4.4,149,$$
Burrard & 14th,RedBeef Noodle Kitchen,49.2681986,-123.1490359,4.1,114,$$
Burrard & 14th,Nero Waffles,49.26028948086864,-123.1390377,4.5,2,No price available
Burrard & 14th,The Cider House,49.2714834306239,-123.154953740237,4.4,34,No price available
Burrard & 14th,Oddfish,49.2708136,-123.1475237,4.1,90,$$$
Burrard & 14th,The Ellis,49.2715661205375,-123.155288726822,4.2,90,$$
Burrard & 14th,The Marquis,49.2620656,-123.1384314,3.4,69,$$
Burrard & 14th,Salade de Fruits Cafe,49.2655161,-123.1401237,4.2,185,$$
Burrard & 14th,Caffe Barney,49.25918,-123.13915,3.2,159,$$
Burrard & 14th,Homura Yakiniku,49.263136,-123.125637,4.5,8,No price available
Burrard & 14th,Tap & Barrel - Bridges,49.2727468,-123.1359964,4.2,109,$$
Burrard & 14th,Mr 2993 Granville,49.25911513092743,-123.1390118,2.9,9,No price available
Burrard & 14th,Yogi-Yo Korean Restaurant,49.263136,-123.1528246,3.5,2,No price available
Olympic Village Station,The Flying Pig,49.27501,-123.122,4.0,1394,$$
Olympic Village Station,Saku,49.2631006,-123.11667523250104,4.3,269,$$
Olympic Village Station,Seaport City Seafood Restaurant,49.263921119674905,-123.115152,4.2,73,$$$
Olympic Village Station,La Taqueria Pinche Taco Shop,49.263617,-123.112593,4.2,706,$$
Olympic Village Station,Yume Dining,49.267153,-123.113141,4.5,15,No price available
Olympic Village Station,Happy Noodle House,49.27664,-123.12578,4.6,166,$$
Olympic Village Station,The Greek By Anatoli - Broadway,49.26283913055831,-123.11245392872092,4.4,12,No price available
Olympic Village Station,Uma Sushi,49.2638048,-123.1137294,4.3,126,$$$
Olympic Village Station,Xin Chào,49.2626123961945,-123.11515357347383,4.3,8,No price available
Olympic Village Station,Okeya Kyujiro,49.27581579131156,-123.1197521,4.9,24,No price available
Olympic Village Station,OEB Breakfast Co. - Yaletown,49.27348,-123.119278,4.3,942,$$
Olympic Village Station,Mahony's Tavern,49.269091,-123.118645,2.0,1,No price available
Olympic Village Station,Alchemy Bar and Kitchen,49.27422,-123.124,4.9,7,No price available
Olympic Village Station,Hokkaido Ramen Santouka,49.263127,-123.1168917,4.2,241,$$
Olympic Village Station,A.Bento,49.263164,-123.118857,3.9,33,$$
Olympic Village Station,Nook,49.269495877535,-123.109226971865,3.7,74,No price available
Olympic Village Station,Fanny Bay Oyster Bar & Shellfish Market,49.2787525,-123.1138689,4.4,902,$$$
Olympic Village Station,John 3:16 Malaysian Delights,49.26371,-123.12812,4.1,66,$$
Olympic Village Station,Casa Molina,49.2653818849428,-123.10693791840268,4.4,7,No price available
Olympic Village Station,Westcoast Poke,49.26409,-123.1140415,3.8,174,$$
Olympic Village Station,Ophelia,49.2694549,-123.1083881,3.6,78,No price available
Olympic Village Station,Blue Water Cafe,49.2761945,-123.1209935,4.4,1155,$$$$
Olympic Village Station,Parker Rooftop,49.276163922889424,-123.13018575310709,4.3,29,No price available
Olympic Village Station,Fat Mao Noodles,49.27982129999999,-123.1267997,4.4,86,$$
Olympic Village Station,The Farmhouse,49.26185879464837,-123.09710762514682,4.2,30,No price available
Olympic Village Station,Ramen One,49.263407,-123.113706,3.9,26,$$
Olympic Village Station,ChiuChow Seafood Restaurant,49.26099857408367,-123.1164952,3.8,24,No price available
Olympic Village Station,Dynasty Seafood Restaurant,49.2635999,-123.12138,3.6,353,$$
Olympic Village Station,Phnom Penh,49.278431,-123.098205,4.2,1817,$$
Olympic Village Station,Sushi Dragon,49.2631475,-123.118358,3.8,96,$
Olympic Village Station,Tops Chef Persian Restaurant,49.260953,-123.116426,5.0,2,No price available
Olympic Village Station,Banana Leaf,49.26302,-123.1225,3.7,333,$$
Olympic Village Station,ONIGIRI YA,49.26339,-123.11652,4.5,2,No price available
Olympic Village Station,Zab Zaab Thai Cuisine,49.27493,-123.12321,4.5,39,No price available
