Place,Latitude,Longitude,Yelp Rating,Review Count
Como Taperia,49.264715,-123.100431,3.7,99
Tim Hortons,49.266273,-123.084421,2.3,24
Blenz Coffee,49.26399,-123.08082,3.1,14
Domino's Pizza,49.262677,-123.091578,3.3,15
Sushi Loku Restaurant,49.262312,-123.091223,3.8,29
Vera's Burger Shack,49.259015,-123.100919,3.6,76
Hail Mary's,49.262352,-123.089604,4.4,19
Noor Convienience & Donair,49.262311,-123.089438,4.1,37
East Vancouver Brewing Co,49.276863,-123.071283,4.3,185
The Downlow Chicken Shack,49.276378,-123.069781,4.1,288
Pepino's,49.278808,-123.070636,4.1,166
Fujiya Japanese Foods,49.276572,-123.077019,3.9,138
Havana,49.273731,-123.069395,3.5,409
Bomber Brewing,49.277477,-123.074418,3.9,44
Via Tevere Pizzeria,49.273873,-123.065512,4.1,359
The Lunch Lady,49.274972,-123.069257,4.1,269
Sula Indian Restaurant,49.274442,-123.069131,4.1,300
Strange Fellows Brewing,49.272444,-123.077805,4.1,76
Sweet Cherubim,49.274756,-123.069725,3.4,121
TimberTrain,49.279794,-123.074371,4.3,257
Ginger Sushi,49.271667,-123.069788,3.9,85
Earnest Ice Cream,49.27967,-123.074767,4.4,422
Storm Brewing Ltd,49.28202,-123.070178,4.7,106
A. Bosa and Company Ltd. Import Euro,49.279449,-123.065416,No rating,No review count
La Grotta Del Formaggio,49.268804,-123.06987,4.4,214
La Casa Gelato,49.276991,-123.081598,3.9,447
Yolks,49.28108,-123.072857,3.6,375
Pallet Coffee Roasters,49.28179,-123.063911,3.7,40
Moja Coffee,49.274709,-123.069316,4.1,90
Sopra Sotto,49.27109,-123.069252,4.0,156
Turk's on the Drive,49.273268,-123.069761,4.8,14
Andina Brewing Co,49.283433,-123.073625,No rating,No review count
Superflux Beer Co,49.28014,-123.077322,3.8,70
Powell Street Craft Brewery,49.283346,-123.075727,3.9,35
Famoso Neapolitan Pizzeria,49.272279,-123.069353,3.4,262
Prado Cafe,49.267213,-123.069492,3.9,94
Fratelli Bakery,49.268861,-123.069875,4.0,87
Caffe la Tana,49.278829,-123.070719,4.6,50
Volcano Sushi & Grill,49.281435,-123.064043,3.4,66
Livia Bakery,49.27229,-123.069841,4.1,66
Pink Pearl Chinese Seafood Restaurant,49.280677,-123.080369,3.1,167
Deserts,49.276378,-123.069781,4.0,1013
Luppolo Brewing Co,49.276934,-123.080701,4.3,185
Victoria Park Cafe,49.27116,-123.065526,3.8,27
The Dime,49.270745,-123.069872,3.1,153
The Charlatan,49.271667,-123.069788,3.2,166
Red Burrito,49.269473,-123.06944,3.0,89
Britannia Sushi,49.275538,-123.069305,2.9,70
Skylight Restaurant,49.275595,-123.069309,4.4,162
Wilder Juice,49.274709,-123.069316,4.5,4
Taiyo Sushi,49.274097,-123.069751,4.4,8
Takenaka,49.278276,-123.075622,4.3,101
Kozu Sushi Pizza,49.278353,-123.07571,4.3,21
Soccavo,49.272573,-123.069865,4.0,2
Mum's the Word,49.272403,-123.06985,4.0,3
Donair Town,49.271744,-123.069876,4.3,84
Cozen,49.271687,-123.069871,4.6,23
The Pond on Commercial Drive,49.271687,-123.069871,No rating,No review count
Cactus Club Cafe,49.28666,-123.14278,4.2,958
CRAFT Beer Market English Bay,49.286629,-123.14221,4.0,48
Delany's Coffee House,49.288307,-123.140488,3.8,106
Legendary Noodle House,49.288425,-123.139849,3.7,245
The Inukshuk,49.284303,-123.143552,4.5,15
Peaked Pies,49.28964,-123.138493,4.4,215
Kingyo Izakaya 金魚居酒屋,49.290643,-123.136956,4.4,1223
Marble Slab Creamery,49.287329,-123.141459,3.3,89
Starbucks,49.287236,-123.141532,4.5,4
Tavola,49.291843,-123.135761,4.4,394
Guu with Garlic,49.290278,-123.133923,4.3,1098
Cardero Bottega,49.287092,-123.135598,4.0,66
Greenhorn Cafe,49.286624,-123.133935,4.0,193
Red Umbrella Cafe,49.286418,-123.140245,3.6,206
Sylvia's Bar,49.288559,-123.142618,3.1,102
Saku,49.291333,-123.134825,4.3,269
Nero Belgian Waffle Bar,49.290654,-123.133874,4.4,572
Marutama Ra-men,49.290515,-123.133538,4.3,791
Ramen Danbo - Robson,49.287499,-123.12898,4.4,686
Score on Davie,49.282285,-123.134538,4.3,368
Pappa Roti,49.28892,-123.13113,4.0,271
Zakkushi Japanese Restaurant,49.291138,-123.136268,4.2,271
The Park at English Bay,49.286922,-123.140937,3.7,76
Kosoo Restaurant,49.289064,-123.132602,3.7,182
La Belle Patate,49.282095,-123.133548,4.1,586
Sura,49.288894,-123.131696,4.1,461
Ukrainian Village Restaurant,49.291374,-123.135883,4.1,180
Melriches Coffeehouse,49.282224,-123.134289,3.5,84
Blenz Coffee,49.290242,-123.137571,3.1,14
Cora Breakfast & Lunch,49.287551,-123.129634,3.7,145
Viet Sub,49.290103,-123.133665,4.1,284
Take 5 Cafe,49.290304,-123.128896,3.8,20
Shamrock Alley,49.287288,-123.141293,2.9,37
Matchstick,49.282738,-123.134576,3.9,219
The Calling Public House,49.287036,-123.141839,3.9,229
Menya Itto,49.288683,-123.130623,3.8,54
Stanley Park Brewing Restaurant & Brewpub,49.292295,-123.146508,3.4,16
Timber,49.286953,-123.129015,4.2,5
Zeitoon Restaurant,49.287967,-123.140459,2.9,147
A&W Restaurant,49.28964,-123.138493,3.4,42
Mo-Mo Sushi House,49.290288,-123.134411,3.5,162
Breaking Bean,49.291395,-123.129719,4.3,48
Banana Leaf,49.291374,-123.13499,3.7,333
Olympia Restaurant,49.289408,-123.138229,3.2,153
Tim Hortons,49.289295,-123.139112,2.3,24
Maple Leaf Bakery,49.281915,-123.133938,3.9,26
Coco Rico Cafe,49.28683,-123.128517,3.3,91
Blenz Coffee,49.289661,-123.132329,3.1,14
Morton Park,49.287622,-123.14197,4.4,14
Café Portrait,49.288019,-123.14022,4.4,79
Pizzeria Farina,49.276561,-123.10014,4.2,235
Phnom Penh,49.278403,-123.098188,4.2,1815
Creekside Park,49.274585,-123.102893,5.0,2
Earnest Ice Cream,49.268876,-123.102894,4.4,422
Torafuku,49.275928,-123.0996,3.8,232
Keefer Bar,49.279619,-123.101293,4.3,328
Bao Bei,49.279609,-123.100805,3.9,444
Oyster Express,49.279309,-123.097372,4.5,171
Kissa Tanto,49.28055,-123.098127,4.1,314
Nemesis Coffee,49.267091,-123.092602,4.4,302
La Casa Gelato,49.276991,-123.081598,3.9,447
Salt Tasting Room,49.280282,-123.098881,4.1,513
Mello,49.280489,-123.098771,4.4,277
Nuba Natural Foods,49.268077,-123.10169,4.0,817
Red Truck Beer,49.268585,-123.097272,3.9,93
Narrow Lounge,49.268334,-123.100495,3.8,127
Chinatown BBQ,49.280546,-123.101453,4.4,347
Bodega on Main,49.275439,-123.099639,3.8,233
Gusto a Taste of Italy,49.271332,-123.105861,4.2,95
Fife Bakery,49.268088,-123.10307,4.2,70
Propaganda Coffee,49.280499,-123.099259,4.0,82
Tractor Foods - Olympic Village,49.269535,-123.102869,No rating,No review count
Kranky Cafe,49.267206,-123.09975,4.2,47
Juke,49.279372,-123.100298,3.2,341
American Hotel,49.276324,-123.099634,3.9,32
New Town Bakery & Restaurant,49.280309,-123.100946,3.7,438
Dosanko,49.282756,-123.092067,3.9,111
Upstairs at Campagnolo,49.275382,-123.099635,4.2,542
Amato Gelato Cafe,49.270065,-123.102995,3.7,76
Brickhouse Late Nite Bistro & Bar,49.277848,-123.09952,3.8,54
Starbucks,49.271053,-123.087585,4.5,4
The Ramen Butcher,49.278661,-123.098778,3.7,405
Tap & Barrel,49.271827,-123.106065,3.1,498
Wilder Snail,49.279398,-123.087482,4.2,38
Luppolo Brewing Co,49.276934,-123.080701,4.3,185
Starbucks,49.269499,-123.102947,4.5,4
Prototype Coffee Inc,49.281214,-123.085202,No rating,No review count
Fat Mao Noodles,49.278692,-123.099348,4.4,86
The Emerald,49.279706,-123.097406,4.0,4
L'Atelier Patisserie,49.266197,-123.099259,4.6,124
Sai Woo,49.280273,-123.101024,3.7,185
The Heatley,49.28101,-123.089728,3.1,62
Pat's Pub & Brewhouse,49.281409,-123.095117,3.8,43
Brewhall,49.269396,-123.103425,3.5,87
Jade Dynasty Restaurant,49.280572,-123.100887,3.5,218
Floata Seafood Restaurant 富大海鮮酒家,49.278996,-123.10124,No rating,No review count
Tim Hortons,49.279279,-123.099479,2.3,24
COBS Bread,49.272204,-123.094659,3.8,30
Kam Wai Dim Sum,49.280576,-123.098454,3.9,88
London Pub,49.278471,-123.099573,2.8,122
